Sl No,Centrally Protected Monument,Areas in Delhi
1.     ,"Bastion, where a wall of Jahan panah meets the wall of Rai Pithora fort.",Adchini
2.     ,Ramp and gateway of Rai Pithora's Fort,Adchini
3.     ,Marble Tomb reputed to be that of Newab BahadurJawid Khan,Aliganj
4.     ,Lal Bangla,Babarpur(Kaka Nagar)
5.     ,Khair-ul-Manzil,Babarpur Bazipur( Kakanagar)
6.     ,Kos Minar or Mughal Mile stone,Babarpur Bazipur( Kakanagar)
7.     ,"The Moti Gate of Shershah, Delhi",Babarpur Bazipur( Kakanagar)
8.     ,Begampuri Masjid,Begampur
9.     ,Phool Chadar aquduct near Najafgarh Jhil aquduct,Chaukri Mubarakabad
10.   ,Lal Gumbad,Chirag Delhi
11.   ,Tomb of Bahlol Lodi,Chirag Delhi
12.   ,Ajmeri Gate,Bazar Ajmeri Gate
13.   ,Alipur Cemetery,Delhi-Alipur Camping group.
14.   ,Ashoka'a pillar,Ferozabad(Ferozshah Kila or Vikram Nagar Colony)
15.   ,Bara Khamba Cemetry,Imperial City
16.   ,Chauburji,Ridge near Hindura Hospital
17.   ,Eremo Cementry,Kishanaganj Railway Stn.
18.   ,"Delhi fort or Lal Qila, Naubat Khana, Diwan-i-am, Mumtaz Mahal' Rang Mahal, Baithak,Maseu Burj, diwan-i-Khas' Moti Masjid, sawan Bhadon ,Shah Burj, Hammam with all surrounding including the gardens, paths, terraces and water courses.",Red fort
19.   ,Delhi Gate,Daryaganj
20.   ,"Enclosure containing the grave of Lt. Edwards and others, murdered in 1857.","North Ridge near flag Staff tower, Civil Lines."
21.   ,Enclosure wall with Tomb of Najaf Khan,Safdarjang Fly over
22.   ,Flag Staff Tower,400 yards North of Cheuburji Mosque
23.   ,Jantar Mantar,Connaught place
24.   ,Kashmeri Gate and portion of the City Wall on either side of the Kashmeri Gate on the side and on the other upto andiincluding the water Bastions at the Northern corner of the wall and also including the dith outside the City wall where this is exposed,Kashmeri Gate
25.   ,"Kotla Ferozabad with the remaining walls, bastions and gateways and gardens, the old Mosque, and well and all other ruins buildings it contains.","Two furlangs east of jail and three furlangs due south of S.E. Corner of Shahjahanabad, Delhi."
26.   ,"Lal Darwaza, the northern gate of the outer walls of the Delhi of Shershah.","Three furlang due south of Delhi Gate,"
27.   ,Lothian Road Cemetery,Kashmeri Gate
28.   ,The Mosque,Qudsia Garden
29.   ,Mutiny telegraph Memorial,"In front of Old Telegraph Building, Kashmeri Gate,"
30.   ,Nicholson (Or Kashmeri Gate) Cemetery,Kashmeri Gate
31.   ,Nicholson statue and its platform and the surrounding gardens paths and enclosure wall.,Outside Kashmeri Gate
32.   ,Old Baoli immediately to the west of Hindu Rao's House.,"On the ridge, Delhi"
33.   ,The Old Entrance Gateway of the Garden.,Qudsia Delhi
34.   ,The Pirghaib to the north and near Hindu Rao's House,"On the ridge , Delhi"
35.   ,"Portion of City wall near which Brij Jahn Nicholson was mortally Wounded on 14th Sept. , 1857","On the ridge , Delhi"
36.   ,The Punjabi gate in the Roshanara bagh,"Opposite Municipal Board school, Subji Mandi"
37.   ,"Purana Quila (Inderpat) or Delhi With all its walls Arcades, gateways and Bastions, gardens, the Mosque of Sher Shah (Kila Kohna Masjid). The Sher Mandala and entrances to Subteranean passages.","Two miles south of the Delhi Gate of Shahjahanabad, Delhi"
38.   ,Rajpur (Mutiny cemetery),"Old Rajpur Cantonment, North Distt."
39.   ,The remaining gateways of the old Magazira with their adjoining buildings,"The post office , Delhi"
40.   ,Sher shah's gate with the adjoinining curon walls and Bastions and the remains of the double line of structure to its front,Opposite purana Qila immediately North-east of the Khairul Manazil Mosque
41.   ,"Site of Siege battery Known as the Sammy House Battery bearing the following Inscriptions Battery , Sammy house, Major Remington Tank, RA Commanding armament 89 pounds. To command ground near Mori Bastion.",300 Yards East of mutiny memorial
42.   ,Site of siege Battery with inscription.,East of the Hospital in police Line
43.   ,Site of siege Battery with inscription,Compound of House No. 7 Court Road
44.   ,Site of siege Battery with inscription.,Compound of Curzon House
45.   ,Site of siege Battery with inscription,In the garden near south west entrance to Delhi Club Ground
46.   ,Sunehri Masjid near Delhi Fort,Delhi Fort
47.   ,Tomb of Capt. Mac. Barnatt & others who fall in an attack on Kishanganj,Kishan Ganj
48.   ,"Tomb of Ghiasuddin Khan,",Tughlaqabad
49.   ,Tomb of Roshanara & Baradari,Sabzi Mandi
50.   ,Tomb of Razia Begum in Mohalla Bulbuli Khana,Shahjahanabad
51.   ,"Tomb of Safdarjang (Mirza Muqim Mansur Ali Khan) with all the enclosure walls, gateways, gardens and the mosque on the eastern side of the garden.","Lodhi Road, New Delhi"
52.   ,Tripolia Gateways,Delhi-Karnal Road
53.   ,Uggar Sain's Baoli,Near Jantar Mantar
54.   ,Tomb of Darya Khan,Kidwai Nagar East
55.   ,Baoli at Ghiaspur,Nizamuddin
56.   ,"Tomb of Mirza Muzaffer, Chota Batasha No. 153, Ghiaspur",Nizamuddin
57.   ,"Tomb of Amir Khusro, Ghiaspur",Nizamuddin
