Sl.No.,District _Name,Taluk_Name,Village_Name,Name_of_Monuments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CHITRADURGA,HIRIYURU,BHARAMAGIRI,TRISANKESHWARA TEMPLES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CHITRADURGA,CHALLAKERE,SIDDAPURA,JAIN BASADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CHITRADURGA,CHALLAKERE,CHALLAKERE (RURAL),ROCK-CUT TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CHITRADURGA,CHITRADURGA,SIDDAPURA,"RANGAYYANA BAGILU, FORT GATE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CHITRADURGA,CHITRADURGA,HEGGERE,UCHANGI YALLAMMA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CHITRADURGA,CHITRADURGA,RAMADURGA,LAKSHMINARASIMHA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CHITRADURGA,HOLALKERE,HORAKEREDEVARAPURA,CHANNAKESHAVA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CHITRADURGA,HOSDURGA,BAGUR,SIDDESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CHITRADURGA,HOSDURGA,HOSADURGA,SIDDESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BENGALURU URBAN,BENGALURU SOUTH,BENGALURU,BASAVESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BENGALURU URBAN,BENGALURU SOUTH,BENGALURU,BOWRING INSTITUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BENGALURU URBAN,BENGALURU SOUTH,BENGALURU,GAVI GANGADHARESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BENGALURU URBAN,BENGALURU SOUTH,BENGALURU,KEMPEGOWDA’S WATCH TOWERS (4NO.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BENGALURU URBAN,BENGALURU SOUTH,BENGALURU,MALLIKARJUNA TEMPLE AND BOULDER INSCRIPTIONS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BENGALURU URBAN,BENGALURU SOUTH,BENGALURU,VENKATARAMANASWAMY TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BENGALURU URBAN,BENGALURU SOUTH,BEGURU,NAGARESWHARA AND  TEMPLE COMPLEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RAMANAGARA,CHANNAPATNA,ABBUR,KUNDAPURASWAMY BRINDAVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RAMANAGARA,CHANNAPATNA,RAMANAGARA,"AKKALSHAH KHADRI DARGA, MAKHAN, TOMB OF HYDER’S PRIEST.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RAMANAGARA,CHANNAPATNA,HONNIGANAHALLI,SYED IBRAHIM’S TOMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,RAMANAGARA,CHANNAPATNA,KUDLUR,RAMADEVARU  SITADEVI TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,RAMANAGARA,CHANNAPATNA,RAMANAGARA,APRAMEYASWAMY  TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RAMANAGARA,CHANNAPATNA,MALUR,JAKKSESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,RAMANAGARA,CHANNAPATNA,RAMANAGARA,AGASTEEWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,RAMANAGARA,CHANNAPATNA,MALURPATNA,NARAYANASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,RAMANAGARA,MAGADI,MAGADI (RURAL),MAGADI FORT AND MOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RAMANAGARA,MAGADI,MAGADI (RURAL),TIRUMALE RANGANATHASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RAMANAGARA,MAGADI,MAGADI (RURAL),SOMESHWARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,RAMANAGARA,MAGADI,KEMPAPURA,HIRIYA KEMPEGOWDA SAMADHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
