S.No.,Name of Monument / Sites,Location,District
1,Brindaban Chandra Temple,Birsingha,Bankura
2,Radha Damodar Temple,Birsingha,Bankura
3,Ancient Temple,Bahulara,Bankura
4,Dalmadal Gun and the platform on which it is mounted,Bishnupur,Bankura
5,Gate of Old Fort,Bishnupur,Bankura
6,Joremandir,Bishnupur,Bankura
7,Jore Bangla Temple,Bishnupur,Bankura
8,Kalachand Temple,Bishnupur,Bankura
9,Lalji Temple,Bishnupur,Bankura
10,Madan Gopal Temple,Bishnupur,Bankura
11,Madan Mohan Temple,Bishnupur,Bankura
12,Malleswar Temple,Bishnupur,Bankura
13,Murali Mohan Temple,Bishnupur,Bankura
14,Nanda Lal Temple,Bishnupur,Bankura
15,Patpur Temple,Bishnupur,Bankura
16,Radha Vinod Temple,Bishnupur,Bankura
17,Radha Govinda Temple,Bishnupur,Bankura
18,Radha Madhav Temple,Bishnupur,Bankura
19,Radha Shyam Temple,Bishnupur,Bankura
20,Rasmancha,Bishnupur,Bankura
21,Shyam Rai Temple,Bishnupur,Bankura
22,Small Gateway of Fort,Bishnupur,Bankura
23,Stone Chariot,Bishnupur,Bankura
24,Saileswar Temple,Dihar,Bankura
25,Sareswar Temple,Dihar,Bankura
26,Temple of Radha Damodar Jiw,Ghutgeria,Bankura
27,Gokul Chand Temple,Gokulnagar,Bankura
28,Temple of Ratneswar,Jagannath pur,Bankura
29,Temple of Shyam Sunder,Madanpur,Bankura
30,Temple site now represented only by a Mound and a Statue of Surya,Pareshnath,Bankura
31,Temple site of an old Jain Temple now represented only by a Mound with a Jain statue.,Pareshnath,Bankura
32,Image of Durga slaying Mahisasura under a tree,Sarengarh,Bankura
33,Temple site now represented only by a Mound,Sarengarh,Bankura
34,Temple site now represented only by a Mound with statues of Ganesh and Nandi on it.,Sarengarh,Bankura
35,Temple site now represented only by a Mound with an Image of Nandi on it.,Sarengarh,Bankura
36,Rock Inscription of Chandra Varman,Susunia,Bankura
37,Temple of Radha Vinod commonly known as Joydev.,Joydeb-Kenduli,Birbhum
38,Temple of Dharmaraj,Kubilashpur,Birbhum
39,Two Mounds,Bhadeswar,Birbhum
40,Temple of Basuli and the mound together fourteen other temples near them containing the Linga images of Shiva,Nanoor,Birbhum
41,Temple of Rasmancha (Damodar Temple),Suri,Birbhum
42,Two Ancient Temple (Joint together),Baidyapur,Burdwan
43,Rudreswar Temple,Bamunara,Burdwan
44,Group of four Ancient Temples,Begunia,Burdwan
45,"Tomb of Baharam Sakka, Sher Afghan and Nawab Qutabuddin",Burdwan,Burdwan
46,Stone Temple,Garui,Burdwan
47,Temple of Ichai Ghosh,Gourangpur,Burdwan
48,Ancient Site,Nadhia,Burdwan
49,Jain Brick Temple known as Sat-Deul,Deulia,Burdwan
50,"Group of Temples (12 nos. Temples) 1 Bijoy Vaidyanath Temple 2 Giri Gobardhan Temple 3 Gopalji Temple, 4 Jaleswar Temple 5 Krishna Chandraji Temple 6 Lalji Temple, 7 Naba-Kailasha Temple 8 Pancharatna Temple 9 Pratapeswar Siva Temple in Rajbari Complex 10 Rameswar Temple, 11 Ratneswar Temple12 Rupeswar Temple",Kalna,Burdwan
51,Ancient Site and Remains of Panduk Rajar Dhipi,Panduk,Burdwan
52,Ancient Mound,Bharatpur,Burdwan
53,Metcalfe Hall,Calcutta,Calcutta
54,CoochBehar Palace,CoochBehar,Cooch Behar
55,Rajpath Site,Khalsa Gasanimari,Cooch Behar
56,Tomb of Alexander-Csoma de Kores,Darjeeling,Darjeeling
57,Tomb of General Llyod,Darjeeling,Darjeeling
58,Mounds,Bangarh (Ganga rampur),Dinajpur (South)
59,Dargah of Shah Ata,Ganga rampur,Dinajpur (South)
60,Haneswari and Basudev Temples,Bansberia,Hooghly
61,Dutch Cemetery together with all tombs & monuments contained therein,Chinsurah,Hooghly
62,Dutch Memorial monument of Susan Anna Maria,Chinsurah,Hooghly
63,Group of temples known as Brindaban Chandra's Math,Guptipara,Hooghly
64,Mounds,Mahanad,Hooghly
65,Minar,Pandua,Hooghly
66,Mosque,Pandua,Hooghly
67,Mosque & Tombs,Satgaon,Hooghly
68,"i) Danish Cemetery, ii) All ancient structures, all tombs stone monument remains and inscriptions within the area enclosed by the said walls.",Serampore,Hooghly
69,Shrine and Mosque known as Dargah of Zafar Khan Gazi,Tribeni,Hooghly
70,Sri Mayer Ghat,Howrah,Howrah
71,Adina Mosque,Pandua (Adina),Malda
