Site Name,City,State,Latitude,Longitude
Durga Temple, Varanasi, Uttar Pradesh, 25.28, 82.98
Indraprastha, New Delhi, Delhi, 28.7041, 77.1025
24 Parganas (North), Barasat, West Bengal, 22.72, 88.48
24 Parganas (South), Kolkata, West Bengal, 22.5733, 88.3639
26 Siva Temples, Bhubaneswar, Odisha, 20.2965, 85.8347
26 Siva Temples, Barrakpore, West Bengal, 22.74, 88.36
Temples of Mallikarjuna, Kudali, Karnataka, 16.1653, 74.8597
Brahmanin, Rajkot, Gujarat, 22.3033, 70.8022 
Hampi, Hampi, Karnataka, 15.3347, 76.4602
A flat roofed temple at Urvara, Urvara, Madhya Pradesh, 22.9333, 79.7333
A group of eight rock-cut temples in Bhairavakonda hill, Bhairavakonda, Andhra Pradesh, 18.5673, 83.2332
Ahichhatra, Ahichhatra, Uttar Pradesh, 28.85, 79.0167
Sanchi, Sanchi, Madhya Pradesh, 26.288611, 77.724167
ADINATHA BASADI, Kothanur, Karnataka, 12.7673, 77.2533
Agastheewara Temple, Pathanamthitta, Kerala, 9.1173, 124.9719
AGASTESHWARA TEMPLE, Kanyakumari, Tamil Nadu, 8.0743, 77.5383
Agastheeswara Temple, Thiruvananthapuram, Kerala, 8.3858, 76.9265
Akkal Shah Khadri Darga, Bangalore, Karnataka, 12.9536, 77.5211
Amruteshwara Temple, Heggadadevanakote, Karnataka, 12.4867, 76.6403
Aprameyaswamy Temple, Thiruvananthapuram, Kerala, 8.5243, 76.9353
Arkeswaraswamy Temple, Haridwar, Uttarakhand, 29.6867, 78.1653
Abohar, Abohar, Punjab, 30.1436, 74.1984
Achyut Bibi's Mosque, Ahmedabad, Gujarat, 23.0222, 72.5716
Achyut Bibi's Mosque, Ahmedabad, Gujarat, 23.0222, 72.5716
Adhai Din-ka-Jhonpra, Ajmer, Rajasthan, 26.4433, 74.6428
Adina Mosque, Malda, West Bengal, 25.2503, 88.1543
Adina Mosque, Pandua, West Bengal, 23.6833, 88.3667
Agatheswar Swami Temple, Pudukkottai, Tamil Nadu, 10.4733, 78.4833
Ajmer-Jaipur Road, Jaipur, Rajasthan, 26.9167, 75.7833
Ajmeri Gate, Delhi, Delhi, 28.7043, 77.1023
Ajmeri Gate, Delhi, Delhi, 28.7043, 77.1025
Akbar's Chhatri, Sikandra, Uttar Pradesh, 27.1783, 79.9693
Alchi, Leh, Ladakh, 34.3722, 76.8603
Ali Farhad Kahns mosque and Inscription And Dargah of H. Shaik Allaudin Ansari, Bijapur, Karnataka, 16.8323, 75.7153
Ali Shaheed Peer Mosque, Hyderabad, Telangana, 17.3667, 78.4833
Ali Shaheed Peer Mosque, Bijapur, Karnataka, 16.8323, 75.7157
Alibag Distt. Raigad, Alibag, Maharashtra, 18.6453, 72.7657
Alibag, Alibag, Maharashtra, 18.6489, 72.7657
Alipur Cemetery, Delhi, Delhi, 28.6939, 77.1025
Alipur Cemetery, Delhi, Delhi, 28.7043, 77.1025
Alisindhi hill, Rajkot, Gujarat, 22.5167, 70.9667
Allahpur Gate, Allahabad, Uttar Pradesh, 25.4500, 81.8467
Allahpur Gate, Bijapur, Karnataka, 28.3467, 75.9155
Amanat Khan Tomb, Delhi, Delhi, 28.7043, 77.1023
Amaranarayana Temple (Bheemeshwara & Nakuleshwara temple), Draksharama, Andhra Pradesh, 16.8833, 81.7333
