name,city,state,address,latitude,longitude
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Bastion, where a wall of Jahan panah meets the wall of Rai Pithora fort.",Adchini,,"Bastion, where a wall of Jahan panah meets the wall of Rai Pithora fort., Adchini",,
Ramp and gateway of Rai Pithora's Fort,Adchini,,"Ramp and gateway of Rai Pithora's Fort, Adchini",,
Marble Tomb reputed to be that of Newab BahadurJawid Khan,Aliganj,,"Marble Tomb reputed to be that of Newab BahadurJawid Khan, Aliganj",,
Lal Bangla,Babarpur(Kaka Nagar),,"Lal Bangla, Babarpur(Kaka Nagar)",,
Khair-ul-Manzil,Babarpur Bazipur( Kakanagar),,"Khair-ul-Manzil, Babarpur Bazipur( Kakanagar)",,
Kos Minar or Mughal Mile stone,Babarpur Bazipur( Kakanagar),,"Kos Minar or Mughal Mile stone, Babarpur Bazipur( Kakanagar)",,
"The Moti Gate of Shershah, Delhi",Babarpur Bazipur( Kakanagar),,"The Moti Gate of Shershah, Delhi, Babarpur Bazipur( Kakanagar)",,
Begampuri Masjid,Begampur,,"Begampuri Masjid, Begampur",,
Phool Chadar aquduct near Najafgarh Jhil aquduct,Chaukri Mubarakabad,,"Phool Chadar aquduct near Najafgarh Jhil aquduct, Chaukri Mubarakabad",,
Lal Gumbad,Chirag Delhi,,"Lal Gumbad, Chirag Delhi",,
Tomb of Bahlol Lodi,Chirag Delhi,,"Tomb of Bahlol Lodi, Chirag Delhi",,
Ajmeri Gate,Bazar Ajmeri Gate,,"Ajmeri Gate, Bazar Ajmeri Gate",,
Alipur Cemetery,Delhi-Alipur Camping group.,,"Alipur Cemetery, Delhi-Alipur Camping group.",,
Ashoka'a pillar,Ferozabad(Ferozshah Kila or Vikram Nagar Colony),,"Ashoka'a pillar, Ferozabad(Ferozshah Kila or Vikram Nagar Colony)",,
Bara Khamba Cemetry,Imperial City,,"Bara Khamba Cemetry, Imperial City",,
Chauburji,Ridge near Hindura Hospital,,"Chauburji, Ridge near Hindura Hospital",,
Eremo Cementry,Kishanaganj Railway Stn.,,"Eremo Cementry, Kishanaganj Railway Stn.",,
